,cStudy,cRace,total_count,Proportion,cRace2
1,BSNIP1,AA,337,0.362365591,AA
2,BSNIP1,AE,2,0.002150538,AE
3,BSNIP1,AS,18,0.019354839,AS
4,BSNIP1,CA,528,0.567741935,CA
5,BSNIP1,MR,26,0.027956989,MR
6,BSNIP1,OT,16,0.017204301,OT/UNK
7,BSNIP1,UNK,3,0.003225806,OT/UNK
8,BSNIP2,AA,772,0.379734383,AA
9,BSNIP2,AE,11,0.005410723,AE
10,BSNIP2,AS,116,0.057058534,AS
11,BSNIP2,CA,940,0.46237088,CA
12,BSNIP2,MR,108,0.053123463,MR
13,BSNIP2,NH,4,0.001967536,NH
14,BSNIP2,OT,70,0.034431874,OT/UNK
15,BSNIP2,UNK,12,0.005902607,OT/UNK
16,COGS2,AA,806,0.325393621,AA
17,COGS2,AE,12,0.00484457,AE
18,COGS2,AS,135,0.054501413,AS
19,COGS2,CA,1221,0.492935002,CA
20,COGS2,MR,268,0.108195398,MR
21,COGS2,NH,27,0.010900283,NH
22,COGS2,UNK,8,0.003229713,OT/UNK
23,GPC,AA,11494,0.364137494,AA
24,GPC,AE,378,0.011975289,AE
25,GPC,AS,1157,0.036654522,AS
26,GPC,CA,13287,0.420940916,CA
27,GPC,MR,2465,0.078092824,MR
28,GPC,NH,132,0.004181847,NH
29,GPC,OT/UNK,2652,0.084017108,OT/UNK
30,Total,AA,13409,0.362356438,AA
31,Total,AE,403,0.01089042,AE
32,Total,AS,1426,0.038535333,AS
33,Total,CA,15976,0.431725443,CA
34,Total,MR,2867,0.077476017,MR
35,Total,NH,163,0.00440481,NH
36,Total,OT,86,0.00232401,OT/UNK
37,Total,OT/UNK,2652,0.071665991,OT/UNK
38,Total,UNK,23,0.000621538,OT/UNK
