"","AA","AS","NA","CA","PI","MR","OT"
"Athens",0.265503709923402,0.0417173603852151,0.00211628425038984,0.618931747690937,0.000719708004181161,0.0216340798875885,0.0493771098582861
"Atlanta",0.540219950809875,0.0313997757158877,0.00235236414977988,0.383604402825694,0.00031428346940379,0.0199260481472751,0.0221831748820842
"Augusta",0.541629480423001,0.0166079165565621,0.00341531757467579,0.397084266105591,0.00199434602900776,0.0260760743292765,0.0131925989818864
"Baltimore",0.637368530390797,0.0234282024152886,0.00365562410521756,0.29604113623883,0.000441251543977802,0.020862823913257,0.0182024313926317
"Boston",0.243585591828936,0.0894357781973271,0.00388442892903752,0.53924260922224,0.000429084479447663,0.03939805114687,0.0840244561961418
"Chapel Hill",0.096622577883389,0.118602903919068,0.00307514895252739,0.727569758705642,0.00024461412122377,0.0270473328324568,0.0268376635856936
"Chicago",0.32928055296079,0.0545941939413815,0.004947696206927,0.44993170346617,0.00037579787490568,0.0271360937350451,0.133733961814781
"Dallas",0.249615132875166,0.0286045602997455,0.00676147254670166,0.507102092474971,0.000402399032906557,0.0264923828033688,0.18102195996714
"Dayton",0.428928755643799,0.00852134221738608,0.00294643424929519,0.517166335752189,0.000367421057466067,0.0291534477520191,0.0129162633278456
"Hartford",0.387345221398517,0.0275455820476858,0.00622720897615708,0.298176718092567,0.000496894409937888,0.0424443999198557,0.23776397515528
"Los Angeles",0.0962706265666936,0.112576236855726,0.00743944622992912,0.497850431139837,0.00147048703258248,0.0463096628953961,0.238083109279836
"Lubbock",0.0855806214145392,0.0242145200001742,0.00739634016195284,0.757989833299212,0.000749217024650111,0.025190244497393,0.0988792236020786
"New York",0.255471073070004,0.127017872369783,0.00703499258054884,0.440034553566285,0.000629592203576382,0.0398649171823871,0.129946999027416
"Philadelphia",0.433706682673594,0.0631747188412103,0.00458451670570103,0.410366014288279,0.000487547231138017,0.0282240043617129,0.0594565158983648
"San Diego",0.0672700515985137,0.159051309390685,0.00588648326987415,0.588932095866459,0.00451888554553228,0.0510080296649386,0.123333144663998
"Seattle",0.0793809351690599,0.138361318305786,0.00790096277067657,0.694755692833437,0.00386258337988368,0.0513373640456084,0.0244011434955476
"Stonybrook",0.0166666666666667,0.0751819505094614,0.000800582241630277,0.885807860262009,0.000436681222707424,0.0136098981077147,0.00749636098981077
"Syracuse",0.294620100571743,0.05525246263002,0.0110628917820486,0.560163945718812,0.000303092925535579,0.0514775780119859,0.027119928359854
