Race,Hispanic/Latino,Gender,SZ Sampling Trend,p-value
AA,No,F,Over,3.97e-04**
AA,No,M,Over,7.60e-95**
AA,Yes,F,Over,1.00e+00
AA,Yes,M,Over,8.42e-04**
AE,No,F,Under,1.00e+00
AE,No,M,Over,4.05e-02**
AE,Yes,M,Under,1.00e+00
AS,No,F,Under,5.06e-27**
AS,No,M,Under,3.55e-07**
AS,Yes,M,Over,1.00e+00
CA,No,F,Under,7.35e-24**
CA,No,M,Over,1.56e-03**
CA,Yes,F,Under,8.88e-17**
CA,Yes,M,Under,5.31e-03**
NH,No,F,Under,1.00e+00
NH,No,M,Over,1.33e-06**
NH,Yes,F,Over,9.77e-01
NH,Yes,M,Over,9.77e-01
OT/MR,No,F,Over,1.24e-03**
OT/MR,No,M,Over,3.42e-13**
OT/MR,Yes,F,Under,2.01e-07**
OT/MR,Yes,M,Under,1.95e-03**
