"Race","Hispanic/Latino","Gender","SZ Sampling Trend","p-value"
"AA","No","F","Over","2.86e-04**"
"AA","No","M","Over","1.51e-95**"
"AA","Yes","F","Over","1.00e+00-"
"AA","Yes","M","Over","8.00e-04**"
"AI/AN","No","F","Under","1.00e+00-"
"AI/AN","No","M","Over","5.01e-02-"
"AI/AN","Yes","F","Under","1.00e+00-"
"AI/AN","Yes","M","Under","1.00e+00-"
"AS","No","F","Under","1.25e-26**"
"AS","No","M","Under","3.87e-07**"
"AS","Yes","F","Under","1.00e+00-"
"AS","Yes","M","Over","1.00e+00-"
"PI","No","F","Under","1.00e+00-"
"PI","No","M","Over","1.50e-06**"
"PI","Yes","F","Over","1.00e+00-"
"PI","Yes","M","Over","1.00e+00-"
"CA","No","F","Under","1.34e-23**"
"CA","No","M","Over","1.28e-03**"
"CA","Yes","F","Under","1.35e-16**"
"CA","Yes","M","Under","7.69e-03**"
"OT/MR","No","F","Over","1.28e-03**"
"OT/MR","No","M","Over","3.25e-13**"
"OT/MR","Yes","F","Under","1.50e-08**"
"OT/MR","Yes","M","Under","7.95e-04**"
