"","City","AA","AS","AE","CA","NH","MR","OT"
"1","Athens",0.25530492898914,0.0400309717382888,0.00337021415326935,0.59972288444689,0.000692788882776046,0.0454061984228865,0.0554720133667502
"2","Atlanta",0.503317666574509,0.0387006676695134,0.00260580504572676,0.391148317546842,0.000380965649960053,0.0407295818738721,0.023116995639576
"3","Augusta",0.547269717614582,0.0179431889069538,0.00337693467657562,0.369962227450672,0.00200405723351687,0.0413484161562379,0.0180954579614612
"4","Baltimore",0.608500757042735,0.0296336443548314,0.00379723022635039,0.287449167915974,0.0003812147324577,0.0376283802766127,0.0326096054510392
"5","Boston",0.223706950212683,0.101493843761526,0.0040386903910408,0.503490068749754,0.000480188920703875,0.0738709954293129,0.09291926253498
"6","Chapel Hill",0.0965073452300051,0.13501631807237,0.00375022023105384,0.682867282474642,0.000310420913979848,0.0530400275183945,0.0285083855595547
"7","Chicago",0.310328435244045,0.06243125212009,0.00879825857692394,0.404101554101756,0.000385888534075611,0.0678783444132344,0.146076267009875
"8","Dallas",0.240816563057635,0.0331113282537932,0.00938176281225084,0.430915256404877,0.000467189807349147,0.0971974606295672,0.188110439034528
"9","Dayton",0.417973213550118,0.0113693757589434,0.00333487360793206,0.496842437072619,0.000462082379616794,0.0471109105172099,0.0229071071135612
"10","Hartford",0.384665763599901,0.0314039433915445,0.00715538036602679,0.246785367064097,0.000589840905670202,0.0833262145637821,0.246073490108978
"11","Los Angeles",0.0911689571998115,0.115662389317479,0.0123132841907967,0.422190954847044,0.0014999932391741,0.090224261795821,0.266940159409874
"12","Lubbock",0.0939566151785237,0.0307819376471603,0.00919842042760225,0.671870955016704,0.000799237334451033,0.0851485677420415,0.108244266653517
"13","New York",0.237474426983926,0.142734312787383,0.0084650018142655,0.388607131155936,0.000707978757456938,0.0714397152348182,0.150571433266214
"14","Philadelphia",0.412901706593035,0.0734736339635434,0.0042200739151953,0.386240603641827,0.00053549696258838,0.0491947895762129,0.0734336953475986
"15","San Diego",0.0631747957009042,0.169171305413508,0.00757812505799207,0.52453593355538,0.00430199077026085,0.0987449959804538,0.132492853521501
"16","Seattle",0.0741152209857506,0.155968565961321,0.00743567354673305,0.649854533969941,0.00331432180875769,0.0807825069203188,0.0285291768071786
"17","Stonybrook",0.016686882052413,0.0994229426250597,0.000735104936229647,0.835079207556879,0.000330797221303341,0.0375638622413349,0.0101812033667806
"18","Syracuse",0.300752237993124,0.0627114605670717,0.0102590285578134,0.519057830423091,0.000377820892474216,0.0710643657033936,0.0357772558630314
