"","cStudy","cHispanicorLatino","total_count","Proportion"
"1","BSNIP1","No",852,0.916129032258065
"2","BSNIP1","Yes",78,0.0838709677419355
"3","BSNIP2","",1,0.000491883915395967
"4","BSNIP2","No",1746,0.858829316281358
"5","BSNIP2","Unknown",14,0.00688637481554353
"6","BSNIP2","Yes",272,0.133792424987703
"7","COGS2","No",2154,0.869600322971336
"8","COGS2","Yes",323,0.130399677028664
"9","GPC","",17,0.000538571202281007
"10","GPC","No",23786,0.753556153968003
"11","GPC","Unknown",751,0.0237921748772374
"12","GPC","Yes",7011,0.222113099952479
"13","Total","",18,0.000486420753952169
"14","Total","No",28538,0.771193082015944
"15","Total","Unknown",765,0.0206728820429672
"16","Total","Yes",7684,0.207647615187137
